"Section";"Discipline";"Libelle";"Libelle";"Discipline WEB";"Libellé WEB";
"AC";"AC";"ACCESS";"ACCESS";"INAC";"Création d'une base de données avec Access";
"AN";"AR";"ANGLAIS";"ANGLAIS";"LGAN";"Anglais";
"AN";"CH";"ANGLAIS";"ANGLAIS";"LGAN";"Anglais";
"AN";"KO";"ANGLAIS";"ANGLAIS";"LGAN";"Anglais";
"AN";"LA";"ANGLAIS";"ANGLAIS";"LGAN";"Anglais";
"AN";"PA";"ANGLAIS";"ANGLAIS";"LGAN";"Anglais";
"AP";"AQ";"ACTIVITES PHYSIQUES";"AQUAGYM";"APAQ";"Aquagym";
"AP";"GD";"ACTIVITES PHYSIQUES";"GYM DANCE";"APGD";"Gym dance";
"AP";"GY";"ACTIVITES PHYSIQUES";"GYM DOUCE";"APGY";"Gym douce";
"AP";"YO";"ACTIVITES PHYSIQUES";"YOGA";"APYO";"Yoga";
"AQ";"AM";"AQUABIKE";"AQUAMIX";"APAM";"Aquamix";
"AQ";"AQ";"AQUABIKE";"AQUABIKE";"APBK";"Aquabike";
"AR";"BD";"ARTS";"HISTOIRE DE L'ART Cycle BD";"HIAR";"Histoire de l'art";
"AR";"CL";"ARTS";"HISTOIRE DE L'ART Cycle CL";"HIAR";"Histoire de l'art";
"AR";"HA";"ARTS";"HISTOIRE DE L'ART";"HIAR";"Histoire de l'art";
"AR";"NS";"ARTS";"HISTOIRE DE L'ART Cycle NS";"HIAR";"Histoire de l'art";
"AR";"RE";"ARTS";"ARCHEOLOGIE REGIONALE";"SHAR";"Archéologie régionale";
"AR";"ST";"ARTS";"HISTOIRE DE L'ART Cycle ST";"HIAR";"Histoire de l'art";
"AS";"AS";"ASTRONOMIE";"ASTRONOMIE";"SHAS";"Astronomie";
"AT";"CH";"ATELIER";"ATELIER CHANT";"AACH";"Atelier chant";
"AT";"MU";"ATELIER";"PARTAGER LA MUSIQUE";"SHPM";"Partager la musique";
"AT";"SC";"ATELIER";"SCULPTURE MODELAGE";"AASC";"Sculpture - modelage";
"AT";"TH";"ATELIER";"EXPRESSION THEATRALE";"AAET";"Expression théâtrale";
"AV";"AC";"AV DE LA PENSEE";"PHILOSOPHIE DE L'ART CONTEMPORAIN";"SHPA";"Philosophie de l'art contemporain";
"AV";"LI";"AV DE LA PENSEE";"LITTÉRATURE ";"SHLI";"Littérature et cinéma";
"AV";"PH";"AV DE LA PENSEE";"PHILOSOPHIE";"SHPH";"Philosophie";
"AV";"PL";"AV DE LA PENSEE";"DE LA PEINTURE A LA LITTERATURE";"SHPL";"De la peinture à la littérature";
"AV";"PY";"AV DE LA PENSEE";"PSYCHOLOGIE";"SHPY";"Psychologie";
"BI";"BI";"BILLARD";"BILLARD";"APBI";"Billard français";
"BO";"BO";"BOTANIQUE";"BOTANIQUE";"SHBO";"Botanique";
"BZ";"MB";"BODY ZEN";"BODY ZEN";"APBZ";"Body zen";
"DE";"DE";"DECOUVERTE";"DECOUVERTE";"INDE";"Découverte et prise en main de l'ordinateur";
"DL";"DL";"DELEGUE(E)";"DELEGUE(E)";;;
"DP";"AP";"DESSIN PEINTURE";"ATELIER PLURIDISCIPLINAIRE";"AAAP";"Atelier pluridisciplinaire artistique";
"DP";"AQ";"DESSIN PEINTURE";"AQUARELLE";"AAAQ";"Aquarelle";
"DP";"TM";"DESSIN PEINTURE";"TECHNIQUES MIXTES";"AADP";"Dessin-peinture toutes techniques";
"EC";"EC";"SCIENCES";"ECONOMIE";"SHEC";"Economie";
"EN";"78";"WINDOWS";"PASSAGE à WINDOWS 10";"INPW";"Passage à Windows 10 : mise à niveau";
"EN";"E1";"WINDOWS";"WINDOWS 10";"INWI";"Windows 10 ";
"EN";"EN";"WINDOWS";"WINDOWS";"INWI";"Windows 7 ou 10 ";
"EN";"FS";"WINDOWS";"FONCTIONS SECRETES";"INFS";"Fonctions secrètes de Windows 10";
"EN";"MU";"WINDOWS";"Utilisation multimédia de Windows 10";"INMU";"Utilisation multimédia de Windows 10";"X"
"ES";"TH";"ESPAGNOL";"ESPAGNOL";"LGES";"Espagnol";
"ES";"VA";"ESPAGNOL";"ESPAGNOL";"LGES";"Espagnol";
"G1";"MA";"GOLF 1° SESSION";"GOLF 1° SESSION VACQUEROLLES";"APGO";"Golf";
"G1";"NP";"GOLF 1° SESSION";"GOLF 1°SESSION";"APGO";"Golf";
"G1";"RC";"GOLF 1° SESSION";"GOLF 1° SESSION CAMPAGNE";"APGO";"Golf";
"G1";"RD";"GOLF 1° SESSION";"GOLF 1° SESSION VACQUEROLLES";"APGO";"Golf";
"G1";"VA";"GOLF 1° SESSION";"GOLF 1° SESSION";"APGO";"Golf";
"G2";"MA";"GOLF 2° SESSION";"GOLF 2* SESSION VACQUEROLLES";"APGO";"Golf";
"G2";"NP";"GOLF 2° SESSION";"GOLF 2°SESSION";"APGO";"Golf";
