"Section";"Discipline";"Libelle";"Libelle";"ifnull(wd.CodeDiscipline,'')";"ifnull(wd.Libelle,'')"
"AC";"AC";"ACCESS";"ACCESS";"";""
"AN";"AR";"ANGLAIS";"ANGLAIS";"LGAN";"Anglais"
"AN";"CH";"ANGLAIS";"ANGLAIS";"LGAN";"Anglais"
"AN";"KO";"ANGLAIS";"ANGLAIS";"LGAN";"Anglais"
"AN";"LA";"ANGLAIS";"ANGLAIS";"LGAN";"Anglais"
"AN";"PA";"ANGLAIS";"ANGLAIS";"LGAN";"Anglais"
"AP";"AQ";"ACTIVITES PHYSIQUES";"AQUAGYM";"APAQ";"Aquagym"
"AP";"GD";"ACTIVITES PHYSIQUES";"GYM DANCE";"APGD";"Gym dance"
"AP";"GY";"ACTIVITES PHYSIQUES";"GYM DOUCE";"APGY";"Gym douce"
"AP";"YO";"ACTIVITES PHYSIQUES";"YOGA";"APYO";"Yoga"
"AQ";"AM";"AQUABIKE";"AQUAMIX";"";""
"AQ";"AQ";"AQUABIKE";"AQUABIKE";"";""
"AR";"BD";"ARTS";"HISTOIRE DE L'ART Cycle BD";"";""
"AR";"CL";"ARTS";"HISTOIRE DE L'ART Cycle CL";"";""
"AR";"HA";"ARTS";"HISTOIRE DE L'ART";"";""
"AR";"NS";"ARTS";"HISTOIRE DE L'ART Cycle NS";"";""
"AR";"RE";"ARTS";"ARCHEOLOGIE REGIONALE";"";""
"AR";"ST";"ARTS";"HISTOIRE DE L'ART Cycle ST";"";""
"AS";"AS";"ASTRONOMIE";"ASTRONOMIE";"";""
"AT";"CH";"ATELIER";"ATELIER CHANT";"";""
"AT";"MU";"ATELIER";"PARTAGER LA MUSIQUE";"";""
"AT";"SC";"ATELIER";"SCULPTURE MODELAGE";"";""
"AT";"TH";"ATELIER";"EXPRESSION THEATRALE";"";""
"AV";"AC";"AV DE LA PENSEE";"PHILOSOPHIE DE L'ART CONTEMPORAIN";"";""
"AV";"LI";"AV DE LA PENSEE";"LITTERATURE";"";""
"AV";"PH";"AV DE LA PENSEE";"PHILOSOPHIE";"";""
"AV";"PL";"AV DE LA PENSEE";"DE LA PEINTURE A LA LITTERATURE";"";""
"AV";"PY";"AV DE LA PENSEE";"PSYCHOLOGIE";"";""
"BI";"BI";"BILLARD";"BILLARD";"";""
"BO";"BO";"BOTANIQUE";"BOTANIQUE";"";""
"BZ";"MB";"BODY ZEN";"BODY ZEN";"";""
"DE";"DE";"DECOUVERTE";"DECOUVERTE";"";""
"DL";"DL";"DELEGUE(E)";"DELEGUE(E)";"";""
