Nom abrégé;Tel. int.;C. P.;Ville;Téléphone 1;Téléphone 2;Fax;N° compte;Famille;Raison sociale;Type;Région                        ;Email;Représentant
;;;;;;;;;CHARMASSON; ;;;
* BF VINS;;30230;RODILHAN;;;;* BF VIN;;BF VINS; ;;;
*FRANCAISES DES VINS;;;;;;;*FRANCAI;;; ;;;
*JEANJEAN;;11300;LIMOUX;;;;*JEANJEA;;SARL FOULON & JEANJEAN; ;;;
*PASSERIEUX;;34501;BEZIERS CEDEX 1;;;;*PASSERI;;PASSERIEUX-VERGNES DIFFUSION; ;;;
.NOUS CORAIL;;30252;SOMMIERES CEDEX;04.66.80.00.09;;04.66.80.39.38;.NOUS CO;;SARL TRANSVINS; ;;;
.NOUS GALLARGUES;;30660;GALLARGUES LE MONTUEUX;;;;.NOUS GA;;Sarl TRANSVINS; ;;;
.NOUS MUDAISON;;34130;MUDAISON;04.67.70.31.22;04.67.88.05.38;04.67.88.02.23;.NOUS MU;;TRANSVINS S/E CEPAGE DE MEDITERRANEE; ;;cépage.medit@libertysurf.fr;
.NOUS S/E ESV;;84700;SORGUES;;;;.NOUS S/;;.NOUS S/E ESV; ;;;
.NOUS S/E SVE;;16130;GENSAC LA PALLUE;;;;.NOUS SVE;;TRANSVINS S/E SVE; ;;;
.NOUS SOMMIERES;;30250;SOMMIERES;;;;.NOUS SO;;Sarl TRANSVINS; ;;;
.NOUS VIC LE FESQ;;30260;VIC LE FESQ;04.66.01.20.59;;04.66.01.25.50;.NOUS VI;;SARL TRANSVINS; ;;;
.NOUS VIC LE FESQ S/E PREAU;;;;;;;.NOUS VI;;.NOUS VIC LE FESQ S/E PREAU; ;;;
ACKERMAN REMY;;49400;SAUMUR;02.41.53.03.31;;02.41.53.03.34;0REMY PANNIER;;SA ACKERMAN; ;;;
ADVINI/JEANJEAN;;34500;ASPIRAN;;;;0ADVINI/JEANJEAN;;JEANJEAN S.A; ;;;
AGENCE ET LOGISTIQUE;;33570;PUISSEGUIN;05.57.74.50.94;;05.57.74.60.79;0AGENCE ET LOGISTIQUE;;AGENCE ET LOGISTIQUE; ;;;
ALIGNAN DU VENT;;34290;ALIGNAN DU VENT;;;;ALIGNAN;;LES CELLIERS DU VENT; ;;;
ALZAS;;07200;AUBENAS;;;;ALZAS;;ALZAS MARC; ;;;
