;Cuve;N° Lot;Volume nominal;Volume en cuve;Appelation;Observation;Date;Opération;Volume operation;Destination / Provenance;D°;AV;SO2L;AT;SO2T;SO2Act;FT;IC;Proteine;Malo;Couleur;Stabilité Tartrique;;
*;A1;0;530.57;0;; LIES VINIF + SS ENTRE 410HL;2013-12-19;Entrée;0;VINIF;0;0;0;0;0;0;0;0;0;0;0;0;;
*;A2;12/0891;532.43;402.43;VDF Rouge;vinif 2014;2014-01-16;Retiraison;130;ca8;12.55;0.27;0;0;0;0;ft;0;0;0;3;0;;
*;A3;12/0937;533.54;533.54;VP30 Rosé;vinif13 ;2014-01-22;Collage;;;12.83;0.2;0;0;0;0;0;0;instable;0;0;0;;
*;A4;12/0962;534.52;0;;;2014-01-21;Retiraison;81.37;C109;12.13;0.25;0;0;0;0;0;0;0;0;0;0;;
*;A5;12/0892;533.24;533;VDF Rouge;preau;2013-12-23;Analyse;;;13.85;0.39;0;0;0;0;0;0;0;0;0;0;;
*;A6;12/0957;538;538;Chardonnay OC Blanc;vinif 2014;2014-01-16;Collage;;;13.07;0.31;0;0;0;0;0;0;instable;0;0;0;;
*;A7;0;538.13;260;VDF Rouge;;2014-01-22;Analyse;;;13.2;0.45;0;0;0;0;0;0;0;0;0;0;;
*;A8;12/0974;534.86;519.86;VDF Rouge;;2014-07-24;Entrée;179;ST ANNES;11.1;0.26;0;0;0;0;0;0;0;0;0;0;;
*;A9;12/0931;533.73;533.73;VDF Rouge;;2013-12-23;Entrée;18.73;C108;12.16;0.28;0;0;0;0;0;0;0;0;0;0;;
*;A10;;534.75; -      ;;;2014-01-15;Nettoyage;;;;;0;0;0;0;0;0;0;0;0;0;;
*;A11;12/0892;543;543;VDF Rouge;preau;2013-12-23;Analyse;;;14.07;0.38;0;0;0;0;0;0;0;0;0;0;;
*;A12;0;548;0;;;2014-01-15;Nettoyage;;;12.2;0.54;0;0;0;0;0;0;0;0;0;0;;
*;A13;12/0966;540;520;VDF Blanc;;2014-01-22;Entrée;260;LE POUGET;12.65;0.16;0;0;0;0;0;0;0;0;0;0;;
*;A14;12/0960;538.73;0;;;2014-01-13;Retiraison;103.39;skalli;14.3;0.49;0;0;0;0;0;0;0;0;0;0;;
*;A15;0;539.35;0;;;2014-01-23;Nettoyage;;;0;0;0;0;0;0;0;0;0;0;0;0;;
*;50;12/0947;1763;1705.75;VDF Rouge;;2014-01-22;Retiraison;57;DESCOMBE;13.7;0.38;0;0;0;0;0;0;0;0;0;0;;
*;51;0;1760;0;;;2014-01-24;Nettoyage;;;0;0;0;0;0;0;0;0;0;0;0;0;;
*;52;12/0756;1012;472;VDF Rouge;Sous entrepositaire St Genies;2014-01-14;Retiraison;280;cv3;12.3;0.3;0;0;0;0;FT;0;0;0;0;0;;
*;53;0;1010;0;;;2014-01-23;Nettoyage;;;0;0;0;0;0;0;0;0;0;0;0;0;;
*;54;;1005;0;;;2014-01-20;Nettoyage;;;;;0;0;0;0;;0;0;0;0;0;;
*;55;12/0888;1012;104;Vinaigre;;2014-01-21;Analyse;;ICV;11.09;1.54;0;0;0;0;0;0;0;0;0;0;;
*;56;12/0645;1000;1000;Syrah OC Rouge;;2014-01-15;Analyse;;;12.58;0.41;0;0;0;0;0;0;0;0;0;0;;
*;57;12/0756;1000;1000;VDF Rouge;sous entrepositaire;2013-12-23;Analyse;;;12.7;0.47;0;0;0;0;0;0;0;0;2;0;;
*;58;12/0756;2096;0;;;2013-11-14;Nettoyage;;;0;0;0;0;0;0;0;0;0;0;0;0;;
*;59;12/0893;1009;412.72;VDF Blanc;;2014-01-21;Analyse;;ICV;11.54;0.36;0;0;0;0;0;0;STABLE;0;3;0;;
*;60;0;1006;0;;;2014-01-16;Nettoyage;;;;;0;0;0;0;0;0;0;0;0;0;;
*;61;0;244;0;Syrah OC Rosé;Vinif13 244HL attente agrement;2014-01-24;Entrée;0;VINIF2013 B8;0;0;0;0;0;0;0;0;0;0;0;0;;
*;62;12/0976;1415;793.9;VDF Rosé;;2014-01-24;Entrée;266;sve;12.2;0.28;0;0;0;0;0;0;0;0;0;0;;
*;63;12/0964;1415;1415;VDF Rouge;;2014-05-24;Entrée;100;c63;12.46;0.45;0;0;0;0;ft;0;0;0;0;0;;
*;65;12/0756;480;0;;;2013-12-23;Retiraison;81;C74;0;0;0;0;0;0;ft;0;0;0;0;0;;
*;66;12/0915;460;460;VDF Rosé;;2014-01-21;Analyse;;ICV;11.15;0.48;0;0;0;0;0;0;INSTABLE;0;0;0;;
*;67;12/0915;600;600;VDF Rosé;;2014-01-21;Analyse;;ICV;11.15;0.53;0;0;0;0;0;0;INSTABLE;0;0;0;;
*;68;;600;;;Fuite HS;;;;;;;;;;;;;;;;;;
*;69;12/0948;600;600;VDF Rouge;;2014-01-23;Analyse;;;12.3;0.56;0;0;0;0;0;0;0;0;0;0;;
*;70;;600;;;A desinfecter avant usage , Fuite du bas;;;;;;;;;;;;;;;;;;
*;71;12/0927;600;600;VDF Rouge;tresh;2013-01-06;Entrée;100;CB13;12.18;0.49;0;0;0;0;0;0;0;0;2;0;;
*;72;12/0779;204;204;VP30 Rouge;;2013-12-23;Analyse;;;12.4;0.37;0;0;0;0;0;0;0;;;;;
*;73;;108;;;HS;;;;;;;;;;;;;;;;;;
*;74;12/0874;204;204;Cabernet VDF Rouge;;2014-01-23;Analyse;;;9.32;0.38;0;0;0;0;0;0;0;0;0;0;;
*;75;12/0972;302.71;302.71;Bio Chardonnay OC Blanc;vinif 2013;2014-01-14;Entrée;302.71;vinif agreage;14.2;0.33;0;0;0;0;0;0;stable;0;2;0;;
*;76;12/0893;302;302;VDF Blanc;;2013-12-23;Analyse;;;11.63;0.38;0;0;0;0;0;0;stable;0;0;0;;
*;77;;302.68;0;;;2014-01-10;Nettoyage;;;;;0;0;0;0;0;0;0;0;0;0;;
*;78;12/0983;302.78;202;VDF Rouge;;2014-01-24;Entrée;126;c51;0;0;0;0;0;0;0;0;0;0;3;0;;
*;79;12/0941;302.78;217.27;Merlot VDF Rouge;;2014-01-22;Retiraison;85;GOICHOT;12.6;0.52;0;0;0;0;0;0;0;0;1;0;;
*;B14;12/0864;250;250;VDF Rouge;ASS Boubee;2014-01-15;Analyse;;;12.28;0.42;0;0;0;0;0;0;0;0;0;0;;
*;B15;12/0941;250;250;Merlot VDF Rouge;;2014-01-15;Analyse;;;11.8;0.33;0;0;0;0;0;0;0;0;0;0;;
*;B18;0;93;;;retentats 48hl;2013-12-13;;;;0;0;0;0;0;0;0;0;0;0;2;0;;
*;B19;06/0464;149;0;;;2013-04-15;Retiraison;29;126;12.73;0.24;26;3.51;66;0;0;0;0;0;;0;;Retiraison
*;B20;12/0939;93;93;Cabernet VDF Rouge;;2013-12-23;Analyse;;;12.6;0.2;0;0;0;0;0;0;0;0;0;0;;
*;B21;12/0955;210;0;;;2014-01-20;Retiraison;106;LANDIRAS;11.5;0.17;0;0;0;0;0;0;stable;0;0;0;;
*;B22;12/0860;210;210;Pinot VDF Rouge;;2014-12-16;Analyse;;;11.59;0.39;0;0;0;0;0;0;0;0;0;0;;
*;135;0;250;0;;;2014-01-23;Nettoyage;;;0;0;0;0;0;0;0;0;0;0;0;0;;
*;1;12/0962;400;0;;;2014-01-16;Retiraison;15.48;c117;;;0;0;0;0;0;0;0;0;0;0;;
*;2;12/0887;400;0;;;2013-12-02;Nettoyage;;;0;0;0;0;0;0;0;0;0;0;1;0;;
*;3;12/0956;402;402;Merlot OC Rouge;vinif 2013;2014-01-23;Analyse;;;13.5;0.33;0;0;0;0;0;0;0;0;1;0;;
*;4;12/0967;402;402;VDF Rouge;;2014-01-14;Analyse;;;12.74;0.44;0;0;0;0;FT;0;0;0;0;0;;
*;5;12/0941;405;0;;;2014-01-17;Retiraison;66;cb9;12.66;0.33;0;0;0;0;ft;0;0;0;0;0;;
*;6;12/0776;410;410;VDF Blanc;;2014-01-21;Analyse;;ICV;11.5;0.56;0;0;0;0;0;0;INSTABLE;0;0;0;;
*;7;0;396;0;;;2014-01-22;Nettoyage;;;;0;0;0;0;0;0;0;STABLE;0;0;0;;
*;8;12/0761;402;0;;;2013-10-17;Retiraison;35;C109;0;0;0;0;0;0;0;0;0;0;0;0;;
*;9;12/0969;405;405;Bio Cabernet OC Rouge;;2014-01-15;Analyse;;;12.94;0.42;0;0;0;0;0;0;0;0;0;0;;
