;Cuve;N° Lot;Volume nominal;Volume en cuve;Appelation;Observation;Date;Opération;Volume operation;Destination / Provenance;D°;AV;SO2L;AT;SO2T;SO2Act;FT;IC;Proteine;Malo;Couleur;Stabilité Tartrique;;
*;A1;0;530.57;0;; LIES VINIF + SS ENTRE 410HL;2013-12-19;Entrée;0;VINIF;0;0;0;0;0;0;0;0;0;0;0;0;;
*;A2;12/1013;532.43;0;;;2014-03-20;Retiraison;78;amiel;0;0;0;0;0;0;0;0;0;0;3;0;;
*;A3;0;533.54;503.54;Cabernet OC Rouge;;2014-03-13;Retiraison;30;lamblin;13.12;0.48;0;0;0;0;0;0;0;0;0;0;;
*;A4;12/1026;534.52;230.94;VDF Rouge;;2014-03-20;Entrée;34;c41;0;0;0;0;0;0;0;0;0;1;0;0;;
*;A5;12/1032;533.24;500;AOP CDR Rouge;;2014-03-04;Entrée;250;VALREAS;12.8;0.4;0;0;0;0;0;0;0;0;0;0;;
*;A6;12/1020;538;300;VDF Rouge;;2014-03-19;Entrée;300;;12.01;0.21;0;0;0;0;0;0;STABLE;0;0;0;;
*;A7;12/1028;538.13;255;VDF Rosé;;2014-03-14;Retiraison;275;mondo;12.73;0.2;0;0;0;0;0;0;0;0;0;0;;
*;A8;12/1035;534.86;534.86;VDF Rouge;;2014-03-13;Entrée;80.23;c51;11.9;0.47;0;0;0;0;0;0;0;0;0;0;;
*;A9;12/1045;533.73;533.73;AOP CDR Rouge;;2014-03-14;Entrée;30.73;c63;12.84;0.38;0;0;0;0;ft;0;0;0;0;0;;
*;A10;12/1050;534.75; 534.72    ;VDF Rouge;cournons;2014-03-17;Entrée;534.72;ca4;12;0.37;0;0;0;0;0;0;0;0;0;0;;
*;A11;12/1042;543;260;VDF Rouge;;2014-03-10;Entrée;130;ca4;0;0.2;0;0;0;0;FT;0;0;0;0;0;;
*;A12;12/1024;548;270;VDF Rouge;;2014-03-19;Entrée;270;preau;0;0;0;0;0;0;0;0;0;0;0;0;;
*;A13;12/0987;540;540;VDF Rouge;;2014-03-17;Entrée;53.92;c54;12.16;0.28;0;0;0;0;FT;0;0;0;0;0;;
*;A14;12/1037;538.73;538.73;VDF Rouge;;2014-03-13;Entrée;87.73;ca13;13.51;0.32;0;0;0;0;FT;0;0;0;0;0;;
*;A15;0;539.35;0;;;2014-09-12;Nettoyage;;;0;0;0;0;0;0;0;0;0;0;0;0;;
*;50;12/1013;1763;0;;;2014-03-18;Retiraison;78;ca2;12.26;0.4;0;0;0;0;0;0;0;0;0;0;;
*;51;12/1026;1760;0;;;2014-03-19;Retiraison;347.94;ca4;12;0.4;0;0;0;0;0;0;0;0;0;0;;
*;52;12/0987;1012;0;;;2018-03-17;Retiraison;486.08;ca13;12.19;0.46;0;0;0;0;FT;0;0;0;0;0;;
*;53;12/1033;1010;538.83;Merlot OC Rouge;;2014-03-17;Retiraison;11;agapes;12.73;0.4;0;0;0;0;0;0;0;0;0;0;;
*;54;12/1026;1005;880.1;VDF Rouge;;2014-03-19;Entrée;100;ca4;12;0.41;0;0;0;0;ft;0;stable;0;0;0;;
*;55;12/0888;1012;37;Vinaigre;;2014-02-26;Entrée;20;VINICOLE;11.09;1.54;0;0;0;0;0;0;0;0;0;0;;
*;56;12/0645;1000;1000;Syrah OC Rouge;;2014-01-15;Analyse;;;12.58;0.41;0;0;0;0;0;0;0;0;0;0;;
*;57;12/0756;1000;0;;;2014-02-06;Retiraison;20;LIES;12.61;0.47;0;0;0;0;0;0;0;0;2;0;;
*;58;12/1016;2096;2096;VDF Rosé;;2014-02-13;Analyse;;;11.82;0.37;0;0;0;0;FT;0;0;0;0;0;;
*;59;12/1020;1009;730;VDF Blanc;;2014-02-27;Entrée;25;C113;12.1;0.27;0;0;0;0;0;0;0;0;3;0;;
*;60;12/1004;1006;1006;Merlot VDF Rouge;;2014-02-03;Analyse;;;12.57;0.4;0;0;0;0;FT;0;0;0;0;0;;
*;61;0;244;244;Syrah OC Rosé;Vinif13 244HL attente agrement;2014-01-24;Entrée;244;VINIF2013 B8;0;0;0;0;0;0;0;0;0;0;0;0;;
