Nom abrégé;Tél. int.;C. P.;Ville;Téléphone;Fax;Vte s/souche;Date mise en vente;Date fermeture;Fam.;Raison sociale;Région                        ;Email;Représentant
*ALZAS;;07200;AUBENAS;04.75.37.70.51;04.75.37.74.63;Non;;;;STE MARC ALZAS;;SIRET : 321 352 742 00019;
*BANCEL;;89290;CHAMPS SUR YONNE;03.86.53.89.34;03.86.53.89.34;Non;;;;Monsieur Bancel Claude;;;
*BF VINS;;30230;RODILHAN;04.66.20.80.90;04.66.20.80.91;Non;;;;BF VINS;;;
*C.I.V.S;;13008;MARSEILLE;04.91.98.33.33.;04.91.98.55.55.;Non;;;;C.I.V.S;;SIRET : 389 110 206 00023;
*CASENOBE;;66000;PERPIGNAN;04.68.34.61.47;04.68.34.37.32;Non;;;;*CASENOBE ET CIE;;;
*CHARMASSON;;30600;VAUVERT;06.24.63.46.59;04.66.88.20.12;Non;;;;MAISON CHARMASSON SARL;;;
*CIATTI;;34000;MONTPELLIER;04.67.91.35.35;04.67.91.35.36;Non;;;;CIATTI;;;
*CO.VI.BI;;34501;BEZIERS;04.67.76.43.81;04.67.76.69.55;Non;;;;CO.VI.BI;;contact@covibi.fr;
*CO.VI.PRO;;13090;AIX EN PROVENCE;04.42.20.89.32;;Non;;;;MR VICTOR GAUTHIER;;SIRET : 551 620 925 00018;
*COMPTOIR VINICOLE DE PROVENCE;;13090;AIX EN PROVENCE;04.42.20.89.32;;Non;;;;COMPTOIR VINICOLE DE PROVENCE;;;
*CROUZET;;30660;GALLARGUES LE MONTUEUX;04.66.35.00.73;04.66.35.46.18;Non;;;;Mr Crouzet Bruno;;brunocrouzet@free.fr;
*DEZZANI;;14023;COCCONATO;;;Non;;;;Monsieur LUIGGI DEZZANI;;;
*DIVIMER;;11100;NARBONNE;04.68.42.68.68;04.68.48.37.78;Non;;;;SARL DIVIMER;;;
*FALGAYRAC;;81990;CUNAC;05 63 45 01 63;04 63 45 26 57;Non;;;;FALGAYRAC;;;
*FERRAGUT;;84350;COURTHEZON;04.90.70.71.93;04.90.70.76.20;Non;;;;ETABLISSEMENTS FERRAGUT;;;
*FOULON ET JEANJEAN;;11300;LIMOUX;06 09 39 91 61;04.68.31.18.40;Non;;;;FOULON ET JEANJEAN;;;
*FRANCAISE DES VINS;;34500;BEZIERS;06.17.74.43.03;04.67.21.93.86;Non;;;;SARL LA FRANCAISE DES VINS;;geoffreypompier@msn.com;
*GIUSTI LUC;;83170;BRIGNOLES;04.94.69.03..76;04.94.59.06.90;Non;;;;EURL GIUSTI LUC;;SIRET 484 223 383 00015;
*GROS ET JUSTAMOND;;83700;SAINT RAPHAEL;04.94.52.85.80;04.94.52.85.81;Non;;;;SARL GROS ET JUSTAMOND COURTAGE EN VINS;;gros1@club-internet.fr;
*HEMERY;;84260;SARRIANS;04.90.37.67.86;04.90.65.40.71;Non;;;;HEMERY PHILIPPE;;SIRET : 377 655 055 00020  511N;
*JLP VINS;;81600;MONTANS;06.08.31.77.31;05.63.41.77.74;Non;;;;JEAN-LUC PELISSIER;;jlpvins@orange.fr;
*LAROCHE;;89000;ST GEORGES SUR BAULCHE;03 86 41 85 28;;Non;;;;Mr LAROCHE Renaud;;renaud.laroche.co@gmail.com;
*LOUCHE;;34400;ST CHRISTOL;04 67 86 01 13;04 67 86 00 43;Non;;;;Christian Louche;;louchechristian@wanadoo.fr;
*LUNEAU;;44120;VERTOU;02.40.33.23.52;;Non;;;;PASCAL LUNEAU;;pluneau@pascal-luneau.fr;
*MARGIACCHI;;52100;AREZZO;(39)0575907922;;Non;;;;MARGIACCHI  Giovanni;;info@margiacchi.eu;
*MARIE CONSULTANT;;81100;CASTRES;05.63.72.22.47;;Non;;;;SAS TERROIR CONSULTING;;;
*MARTIN;;84190;VACQUEYRAS;04.90.12.33.33;04.90.12.33.34;Non;;;;SARL MARTIN VINS;;SIRET : 344 853 973 00016;
*MAYARD;;84231;CHATEAUNEUF DU PAPE CEDEX;04.90.83.70.16;04.90.83.50.47;Non;;;;COURTAGE MAYARD;;'didier.mayard@chateauneuf-du-pape.com.fr';
*ORTUNO;;30350;MOULEZAN;06.24.66.15.89;04.66.77.11.09;Non;;;;EURL COURTAGE ORTUNO;;ortunoarnaud@orange.fr;
*PAQUETTO;;34440;LUNEL VIEL;04.67.71.43.39;04.67.71.43.39;Non;;;;STE PASQUETTO;;;
*PASSERIEUX;;34501;BEZIERS CEDEX;04 67 31 30 30;04 67 31 32 18;Non;;;;SARL PASSERIEUX VERGNES DIFFUSION;;;
*PIPPO CHRISTOPHE;;34270;FONTANES;06.80.03.37.59;;Non;;;;Mr PIPPO CHRISTOPHE;;christophe.pippo@orange.fr;
*PISSOT;;83230;BORMES LES MIMOSAS;;04.94.15.12.17;Non;;;;JEAN PIERRE PISSOT;;;
*POLSTER;;D-58861;REIL MOSELLE;00496542962454;00496542962454;Non;;;;POLSTER GUNTER;;;
*RIVES MICHEL;;33800;BORDEAUX;06.78.95.01.69;05.56.39.64.81;Non;;;;MICHEL RIVES;;;
*ROUVIER;;30134;PONT SAINT ESPRIT;04.66.39.12.21;04.66.39.45.77;Non;;;;ETS ROUVIER PAUL ET FILS;;;
*SAMSON;;41400;THENAY;02.54.74.21.11;06.85.55.51.76;Non;;;;AGENCE SAMSON;;wsf.csamson@orange.fr;
*SAN NICOLAS;;34500;BEZIERS;04.67.49.29.19;04.67.37.84.13;Non;;;;PHILIPPE SAN NICOLAS;;;
*SERVAT-VINS;;11430;GRUISSAN;04.68.75.08.40;;Non;;;;EURL SERVAT-VINS;;servat.vins@wanadoo.fr;
*STEP PUECHREDON;;34760;BOUJAN SUR LIBRON;;;Non;;;;STEP PUECHREDON;;;
*SVB;;84230;CHATEAUNEUF DU PAPE;04.90.33.20.93;04.90.33.25.73;Non;;;;SELECTION VINS ET BOUTEILLES;;;
*TRANSVINS PASSERIEUX;;30260;VIC LE FESQ;;;Non;;;;SARL TRANSVINS;;;
*TRANSVINS PUECH REDON;;30260;VIC LE FESQ;;;Non;;;;SARL TRANSVINS;;;
*VIAL COURTAGE;;84230;CHATEAUNEUF DU PAPE;04.90.31.29.36;04.90.48.51.45;Non;;;;SARL COURTAGE VIAL;;SIRET 478 665 144 00018;
*VIEUBLED;;84310;MORIERES LES AVIGNON;09.75.65.53.12;;Non;;;;SARL BVC;;bvieubled@yahoo.com;
*VINI PÔLE;;84120;PERTUIS;04.90.09.50.54;;Non;;;;VINI PÔLE;;SIRET 444 217 848 00019;
*VINOTEC;;34480;LAURENS;04.67.93.32.08;04.67.90.29.01;Non;;;;SARL VINOTEC;;;
*VINS DAVID;;30404;VILLENEUVE LES AVIGNONS CEDEX;06.09.34.96.61;04.90.25.99.02;Non;;;;VINS DAVID;;;
*WALTER VINS ET SERVICES;;34150;GIGNAC;06.73.98.74.41;;Non;;;;SARL WALTER VINS ET SERVICES;;waltervalgalier@yahoo.fr;
-ABRIC;;34560;VILLEVEYRAC;04.67.78.06.35;;Non;;;;Transports Abric;;;
-ADAMI;;37139;VERONA;390458518330;;Non;;;;ADAMI AUTOTRASPORTI SPA;;;
-AG TRANSPORTS;;21200;BEAUNE;;;Non;;;;AG TRANSPORTS;;;
-ALAINE;;71020;MACON CEDEX 9;03.85.29.61.00;03.85.29.93.21;Non;;;;TRANSPORTS ALAINE;;;
-ALBO;;34500;BEZIERS;04.67.35.85.20;;Non;;;;TRANSPORTS ALBO;;;
-ALOIS STEINER;;;GEWERBEPARK 1;;;Non;;;;ALOIS STEINER;;;
-ANTOINE;;69000;MORNAN;02.31.48.67.00;02.31.31.46.67;Non;;;;TRANSPORTS ANTOINE;;;
-ARNAUD;;26780;MALATAVERNE;04.75.90.86.85;04.75.90.87.75;Non;;;;TRANSPORTS ARNAUD/JARDEL;;BP152012CHDELAGRAVIERE;
-ATM GLOBAL LOGISTICS;;69125;LYON ST EXUPERY AEROPORT;;;Non;;;;ATM GLOBAL LOGISTICS FRANCE;;;
-AUTARD;;;;;;Non;;;;AUTARD LE PATY;;;
-AUTOSPED G SPA;;15053;CASTELNUOVO SCRIVIA;0131824811;0131824820;Non;;;;AUTOSPED G. SPA;;;
-AVIGNA;;;;02.40.25.95.41;;Non;;;;AVIGNA;;;
-BACOU;;11000;CARCASSONNE;;;Non;;;;TRANSPORTS BACOU;;;
-BARTHES SARL;;34360;CEVAZAN;06.82.58.36.47;;Non;;;;SARL bARTHES;;;
-BATUT;;11;CARCASSONE;;;Non;;;;TRANSPORTS BATUT;;;
-BERKMANN;;88260;ARGENBUHL;;;Non;;;;TRANSPORTS KONRAD BERKMANN;;;
-BERTHAUD;;30510;GENERAC;;;Non;;;;TRANSPORTS BERTHAUD;;;
-BERTRAND;;84800;L'ISLE SUR LA SORGUE;04 90 38 01 12;04 90 38 59 24;Non;;;;TRANSPORTS BERTRAND;;;
